Artist,Title,prepText,allText
TOTAL WASTE - Social Scars,Various Artists / Celine Dion - Love Again (Soundtrack from the Motion Picture), tocadéo chansons pour durer toujours la famille leblanc perdraisje mon temps lysandre série i ii les heures innocentes mathieu gaudet schubert architect,TOTAL WASTE - Social Scars Various Artists / Celine Dion - Love Again (Soundtrack from the Motion Picture)  tocadéo chansons pour durer toujours la famille leblanc perdraisje mon temps lysandre série i ii les heures innocentes mathieu gaudet schubert architect
Les Dérapeutes - Raceday,Colin Stetson - When we were that what wept for the sea, jorane le roman de monsieur de molière playfull mess strange sensation midnight miles steal away fuudge quun cauchemar devienne si vrai,Les Dérapeutes - Raceday Colin Stetson - When we were that what wept for the sea  jorane le roman de monsieur de molière playfull mess strange sensation midnight miles steal away fuudge quun cauchemar devienne si vrai
DJ Unpier - Y Comprendront Plus Tard.,"Marie Onile - Les mots, l'élan et la chance", cordâme fabula femina kristian north pseudoscience fiction thomas lauderdale meets the pilgrims malaguena jeanick fournier vivante,"DJ Unpier - Y Comprendront Plus Tard. Marie Onile - Les mots, l'élan et la chance  cordâme fabula femina kristian north pseudoscience fiction thomas lauderdale meets the pilgrims malaguena jeanick fournier vivante"
DoMarier - DoMarier,Bon Débarras - Bon Débarras en famille, blue ridge band down to business pt ii patrick bourdon temps partiel tigars ménard juste pour à soir fratzel ,DoMarier - DoMarier Bon Débarras - Bon Débarras en famille  blue ridge band down to business pt ii patrick bourdon temps partiel tigars ménard juste pour à soir fratzel 
Incatombe - Katakombe,Simon Leoza - L'enfer d'un monde (Bande sonore originale de la création de ZemmourBallet), claude marquis influences chârogne trigger warning dtouxkroches shot dans moppe sauf les drones versions du vivant,Incatombe - Katakombe Simon Leoza - L'enfer d'un monde (Bande sonore originale de la création de ZemmourBallet)  claude marquis influences chârogne trigger warning dtouxkroches shot dans moppe sauf les drones versions du vivant
Ariane Roy - Apple Music Home Session,Joe Grass - Falcon's Heart, william gravel végétal van lab polychromatique tristan guay dans une autre vie fred tremblay hurlez,Ariane Roy - Apple Music Home Session Joe Grass - Falcon's Heart  william gravel végétal van lab polychromatique tristan guay dans une autre vie fred tremblay hurlez
Ema Landry - Malgré les vagues,The Night Owls - The Night Owls, polymatopée trop peu de matière dans le vacarme mokina swirly arctistic anirniq audrey curadeau la grêle des fleurs,Ema Landry - Malgré les vagues The Night Owls - The Night Owls  polymatopée trop peu de matière dans le vacarme mokina swirly arctistic anirniq audrey curadeau la grêle des fleurs
Lauriane Morel - À fleur d'été,Loig Morin - Adieu hiver, giorgia fumanti cinema collection élisabeth pion femmes de légende yocto zepta supernova william bisson continue de naviguer,Lauriane Morel - À fleur d'été Loig Morin - Adieu hiver  giorgia fumanti cinema collection élisabeth pion femmes de légende yocto zepta supernova william bisson continue de naviguer
Julien Valiquette - Mulligan,Paralime - Café Sublime, killed by sorrow careless of this sadness domlebo les paroles senvolent birdwatch birdwatch,Julien Valiquette - Mulligan Paralime - Café Sublime  killed by sorrow careless of this sadness domlebo les paroles senvolent birdwatch birdwatch
Viviane Audet - Les nuits avancent comme des camions blindés sur les filles,Seb Langlois - Baston Beats, half moon run salt rufus wainwright folkocracy beau nectar two lips prince amine afrikan boy,Viviane Audet - Les nuits avancent comme des camions blindés sur les filles Seb Langlois - Baston Beats  half moon run salt rufus wainwright folkocracy beau nectar two lips prince amine afrikan boy
